ID,SchoolID,Firstname,Surname,Gender,Ethnicity,YearReal,LookedAfterChild,DateOfBirth,AutumnBorn,SpringBorn,SummerBorn,MilitaryFamily
C49D5328-1089-4DB5-B8C7-E87749BF94CC,2,Charlie,Kim,F,WBRI,9,0,20080102,0,1,0,0
047AA08D-4DF4-4DD5-8FBB-B4B61AB48DAC,2,Eden,Wareing,M,WBRI,9,0,20080727,0,0,1,0
7CF9FAC4-36E5-4ACD-9F56-0580169F4964,3,Maisie,Morrison,M,WOWB,6,0,20110609,0,0,1,0
A59FC918-0FDC-49E1-A094-E513CE678791,5,Maisie,Hussain,M,WBRI,9,0,20080310,0,1,0,0
28559743-E93E-49FC-8FA0-6A14D6843908,1,Safa,Reynolds,M,AOPK,6,0,20101219,1,0,0,0
069B4A67-41B3-4474-B85D-B473014982EB,2,Ainara,Oseni,M,WBRI,7,0,20100813,0,0,1,0
F648295B-7450-4C66-904F-B819C0BBD4A0,2,Hamza,Matthews,M,WBRI,7,0,20100411,0,0,1,0
A98F538A-C721-4B55-A9DD-5E361D4BB566,5,HARRISON,ASPEY,M,WBRI,7,0,20091005,1,0,0,0
C62A2B8C-CE65-4D9F-A6AD-FAFF9F52970F,2,Kristupas,Jean-Pierre,M,WBRI,7,0,20090907,1,0,0,0
F45CFE70-B3F1-45C7-A612-E05C8EF02D98,2,Will,Scrivens,M,WBRI,9,0,20080220,0,1,0,0
2E373435-14A4-4CB6-A289-6CB148947BC4,1,Amelia,Charleston,M,AOPK,7,0,20100804,0,0,1,0
DADCAAB4-F1AC-495B-A34D-C863BCE75A9E,1,Lilly,Virk,M,AOPK,9,0,20071221,1,0,0,0
CD9C0CAC-032D-47A9-AF9D-ECA21DAD8D96,3,Aaron,Garcia Neves,M,WOWB,3,0,20140601,0,0,1,0
ADC15CD4-680F-4816-AEAE-2DF73C84533C,1,Tiernan,RICKABY,M,AAFR,8,0,20081117,1,0,0,0
0502C76A-0193-4F2F-A492-91D82DE9ED6D,1,ELLA,Oseni,F,AOPK,7,0,20100111,0,1,0,0
C344275A-4E78-440F-9906-3F3C5E106804,3,Ella-Mae,Smith,M,WCOR,-3,0,20100103,0,1,0,0
D2E719C2-4215-4637-869B-0F4379042847,1,Jamal,Hellmich,M,AOPK,7,0,20081126,1,0,0,0
A9C7AA0A-4956-4421-8BCB-14E93E56D145,2,Ayman,Hellmich,F,WBRI,9,0,20080521,0,0,1,0
6EED2C49-27D3-4BBB-9C28-A5E03F32D82E,1,Amelia,Munawar,M,AOPK,9,0,20080423,0,0,1,0
DC0CCD4B-1B44-479E-B0C7-E022B0E2417E,5,Jacob,Taak,M,WBRI,9,0,20080312,0,1,0,0
06B64DDC-1403-4001-B6EF-6DE8CB7CC07B,2,Will,Massey,M,WBRI,6,0,20110726,0,0,1,0
811CC11F-DD0F-4EB3-A55A-5BCDE1F70263,1,Heera,Richardson,M,AOPK,9,0,20080102,0,1,0,0
D2F88BB4-C7D1-4461-97AA-EC422833FD88,3,Hope,Sayers,M,WOWB,1,0,20160522,0,0,1,0
4454ECA9-1013-454B-8C01-B168299EB9D6,2,Mason,KELLY,F,WBRI,8,0,20081208,1,0,0,0
8671C26D-E946-4EAC-B325-F271FF39DC47,5,Jamie,Rashid,F,WBRI,7,0,20091105,1,0,0,0
DC55E759-0D53-461D-ACE3-644BF655C9F9,1,Leah,Crowther-Walsh,F,OLIB,8,0,20090202,0,1,0,0
3763F08E-68C2-42D1-9C7C-859E342FB7FB,5,Felix,Smith,M,WBRI,7,0,20100106,0,1,0,0
3B0C61CB-06F5-4B96-BB01-79857BFF5998,1,Scarlett,Jennings,F,AOPK,4,0,20121101,1,0,0,0
EE287F4F-6D84-4CB1-B3D3-540FB93F4617,3,Emaan,Baines,M,WOWB,5,0,20120519,0,0,1,0
9D348DB6-51A4-4C8F-9374-C21E7BCF80A7,2,Musa,Shutt,M,WBRI,7,0,20100502,0,0,1,0
BEC0EBED-14F2-4C3F-B254-6A7E05741742,2,Hope,Armstrong,F,WBRI,7,0,20100725,0,0,1,0
B16E4C28-E7EB-4862-AD8D-8D567256ACAA,3,Noah,Antley,M,MWAS,9,0,20080407,0,0,1,0
7DC0F64D-9011-4332-8540-D521583191D0,5,Arlo,Mountford,M,WBRI,8,0,20090821,0,0,1,0
0F87CF05-764D-486A-BF6E-4C5C6D78C5AD,1,Harley,Voicu,M,AOPK,5,0,20111213,1,0,0,0
9F17F0D7-D150-44FD-80B5-462A60C3B9CA,5,Tejsi,Mousavidoust,M,WOTH,7,0,20091224,1,0,0,0
D1995451-26F5-4B74-A34B-B67DB980A28A,3,Daisie-Mai,Bestwick,M,WCOR,6,0,20110103,0,1,0,0
FC20FBAC-70F3-455B-B305-34B1E337844B,5,Charlie,Dodd,M,WBRI,9,0,20080103,0,1,0,0
B64D79F5-4A57-4B1C-9A64-B82A7F086C54,3,Harriet,Hughes,M,WOWB,2,0,20141017,1,0,0,0
7F3263B1-3E1D-4774-9A52-2C032CF837FF,3,Felix,Cameron,M,WOWB,2,0,20150503,0,0,1,0
A22A9F56-9F72-4DEC-AAF2-2F6E687986DE,2,Ella-Mae,Piterson,F,WBRI,9,0,20080418,0,0,1,0
